Required_Order,Book_Line_Ref,Chapter,Headword,Latin_Entry,Definitions,Occurrences in the Aeneid
151,I.251,I.151-175,"rīdeō","rīsī, rīsus, 2, n. and a.","to laugh or smile, 5.358; laugh at, deride, 5.181.",4
152,I.256,I.151-175,"ōsculum","ī, n.","the lip, 1.256; kiss, 1.687. (1. ōs)",4
153,I.256,I.151-175,"lībō","āvī, ātus, 1, a.","to taste, sip; to touch lightly; kiss, 1.256; pour out as a drink offering, 1.736; make a libation, 3.354; (w. acc. of the object on which the libation is poured), to pour libations on, 12.174.",13
154,I.259,I.151-175,"sublīmis","e","(adj.), raised up, elevated, uplifted, 11.602; aloft; on high, 1.259; through the air, 1.415; on high, 6.720; to heaven, 5.255; of lofty soul, 12.788; (adv.), sublīme, loftily, aloft, on high, 10.664.",15
155,I.264,I.151-175,"ferōx","ōcis","adj. (ferus), wild; impetuous; ferocious, fiery, fierce, 5.277; warlike, martial; proud, 12.895.",10
156,I.264,I.151-175,"contundō","tudī, tūnsus, or tūsus, 3, a.","to pound thoroughly; beat, bruise, pound; (fig.), subdue, conquer, 1.264.",1
157,I.267,I.151-175,"cognōmen","inis, n.","a name common to a family; a surname; name, 1.267.",13
158,I.271,I.151-175,"albus","a, um","(adj.), white, 3.392; blank, undecorated, 9.548; subst., album, ī, n., whiteness, white.",23
159,I.273,I.151-175,"dōnec","dōnec","(adv.), as long as, while; until, till at length, w. indic., 1.273; w. subj., 11.860. (contract. fr. dōnicum, until)",14
160,I.275,I.151-175,"lupus","ī, m.","a wolf, 3.428, et al.",8
161,I.275,I.151-175,"fulvus","a, um","(adj.), reddish or tawny yellow; yellow, 5.374; tawny, 2.722; brown, 11.751; glowing, bright, 12.792.",19
162,I.278,I.151-175,"mēta","ae, f.","a meta; one of the cone-shaped pillars, three of which terminated each end of the spina in the Roman circus, and marked the turning point of the course; a turning point, goal, 5.129; (fig.), limit, extremity, end, bound, 1.278; 8.594; meridian, zenith, 5.835; mētae mortis, the bounds of death; i.e., fixed by death, 12.546. (mētior)",10
163,I.280,I.151-175,"fatīgō","āvī, ātus, 1, a.","to weary, tire, 1.316; exhaust, 11.306; goad, 9.610; harass, vex, pursue, 6.533; infuriate, 9.63; rouse, 4.572; beat up, hunt, scour, 9.605; disturb, confound, 1.280; strike upon, beat, 10.304; demand with importunity, clamor for, 7.582.",14
164,I.286,I.151-175,"orīgō","inis, f.","a source, origin, beginning, 1.372; descent, lineage, birth, 1.286; source, root, founder, 12.166. (orior)",10
165,I.291,I.151-175,"saeculum","ī, n.","a generation, race; century, period, age, time, 1.291, et al.",8
166,I.292,I.151-175,"cānus","a, um","(adj.), white, of the hair and beard; whitened, hoary, of frost and cold; of the sea, foaming, hoary, 8.672; gray-haired, venerable; hoary, 1.292.",4
167,I.293,I.151-175,"dīrus","a, um","(adj.), accursed; portentous; fearful, dreadful, awful, dire, cruel, horrible, freq.; accursed, 2.261; unhallowed, impious, 6.373; foul, carrion, 3.262; wild, furious, ardent, 9.185; pl., dīra (adv.), fearfully, 10.572.",33
168,I.295,I.151-175,"vinciō","vinxī, vinctus, 4, a.","to bind, 11.81; bind round, 1.337; wreathe, bind round, 12.120.",4
169,I.296,I.151-175,"nōdus","ī, m.","a knot, 1.320, et al.; of a tree, 11.553; bond, 1.296; coil, 2.220; (fig.), difficult point; center of strife, 10.428.",14
170,I.303,I.151-175,"gignō","genuī, genitus, 3, a.","beget, 10.848, et al.; bear, bring forth, 1.618, et al.; p., genitus, a, um, w. abl. of source, begotten of, born of, 9.642; son of, 1.297. (γίγνομαι, become)",14
172,I.301,I.151-175,"āla","ae, f.","a wing, 1.301; the feather of an arrow, 9.578; the wing of an army; cavalry, 11.730; troop, battalion, 11.604; horsemen, mounted huntsmen, 4.121.",33
173,I.305,I.151-175,"almus","a, um","adj. (alō), giving nourishment; fostering, genial, blessing, blessed, benign, 1.306; fruitful; gracious, kind, kindly, propitious, 7.774.",18
174,I.312,I.151-175,"gradior","gressus sum, 3, dep. n.","to step, walk, go, 1.312; move, advance, 10.572.",10
175,I.312,I.151-175,"comitor","ātus sum, 1. dep. a.","to accompany, attend, follow, 3.660; p., comitātus, a, um, attended, accompanied, 1.312, et al. (comes)",21
176,I.314,I.176-200,"obvius","a, um","adj. (ob and via), in the way; presenting one's self or itself; meeting, 1.314; against, 6.880; opposing, 9.56; in the way of; exposed to, 3.499; obvius fierī, to encounter, meet, 10.380.",18
177,I.317,I.176-200,"volucer","cris, cre","adj. (1. volō), having the power to fly; of birds or winged creatures, swift-winged, 5.488; of things, winged, fleeting, 2.794; swift, 1.317; subst., volucris, is, f., a bird, 3.262.",12
179,I.318,I.176-200,"suspendō","pendī, pēnsus, 3, a.","to hang up, 6.859; hang, 1.318; p., suspēnsus, a, um, suspended, scarcely touching the ground or water, 7.810; hanging, 8.190; as adj., in suspense, uncertain, doubtful, in doubt, 6.722; anxious, 2.729; filled with awe, 3.372.",10
180,I.319,I.176-200,"coma","ae, f.","the hair, 1.319; mane, 10.726; (fig.), foliage, leafy crown, 2.629; leaves, branches.",25
181,I.320,I.176-200,"genū","ūs, n.","a knee, 1.320, et al. (γόνυ)",10
182,I.321,I.176-200,"iuvenis","e","(adj.), young; in the vigor or flower of life; young, youthful, freq.; subst., iuvenis, is, c., a young person, youth; young man, 1.321, et al.",78
183,I.323,I.176-200,"pharetra","ae, f.","a quiver, 1.323, et al.",13
184,I.323,I.176-200,"macula","ae, f.","a spot, 5.566, et al.",3
185,I.325,I.176-200,"ōrdior","ōrsus sum, 4, dep. a. and n.","to weave, spin; to begin; begin to speak; begin, 1.325.",9
186,I.335,I.176-200,"dīgnor","ātus sum, 1, dep. a.","(w. acc. and abl.), to deem worthy of, 1.335; (w. inf.), think, fit, deign, 4.192; p., dīgnātus, a, um, with pass. meaning, deemed worthy of, honored by, 3.475. (dīgnus)",2
187,I.337,I.176-200,"purpura","ae, f.","purple color, purple; purple border or fringe, 5.251. (πορφύρα, the purple-fish)",2
188,I.341,I.176-200,"germānus","a, um","(adj.), of the same parentage; particularly, of the same father; own; subst., germānus, ī, m., own brother; brother, 1.341, et al.; germāna, ae, f., own sister; sister, 4.478.",12
189,I.349,I.176-200,"caecus","a, um","(adj.), blind, freq.; blinded mentally, reckless, 1.349; 11.781; with fury, mad, 2.357; of things which baffle or obstruct the sight or the mind, dark, 3.200; hidden, covered, 1.536; secret, private, 2.453; from behind, 10.733; uncertain or dim, 9.518; uncertain, 6.30; aimless, 4.209; blinding, 12.444; of uncertain origin, 12.617; of sound, indistinct, subdued, 10.98; obscure, 12.591.",34
190,I.352,I.176-200,"vānus","a, um","(adj.), containing nothing, empty; devoid of truth, deceitful, false, 1.352; unavailing, 8.259; groundless, 4.12; ignorant, 10.631; subst., vāna, ōrum, n., useless things, 2.287; (adv.), vāna, vainly, 11.854.",1
191,I.352,I.176-200,"lūdō","lūsī, lūsus, 3, n. and a.","to play, frolic, sport, 1.397, et al.; play with dice, 9.336; make sport of, mock, delude, deceive, 1.352; make one's sport, 11.427.",12
192,I.357,I.176-200,"celerō","āvī, ātus, 1, a.","to speed, hasten, 1.357, et al. (celer)",8
193,I.359,I.176-200,"ignōtus","a, um","(adj.), unknown, 1.359; strange, 5.795; not well known, but little known, 11.527.",19
194,I.359,I.176-200,"pondus","eris, n.","weight, 5.447; burden, load, 6.413; a stone, a shot, 11.616. (pendō)",16
195,I.359,I.176-200,"aurum","ī, n.","gold, 1.349, et al.; (meton.), a golden goblet, 7.245; golden bit, 7.279.",77
196,I.364,I.176-200,"fēmina","ae, f.","a woman, 1.364.",9
197,I.367,I.176-200,"solum","ī, n.","the bottom or ground of anything; soil, earth, ground, 1.367, et al.; land, 3.698; foundation, 10.102; the water beneath a ship, as its support; the water, sea, 5.199; support, table, 7.111.",30
198,I.378,I.176-200,"carpo","carpsī, carptus, 3, a.","to pluck or pull, crop, browse upon, eat, graze; cause to graze, pasture; gather, 6.146; (fig.), catch, breathe, enjoy, 1.388; consume, 4.2; devour, waste, 4.32; carpere prāta, etc., to course over.",11
199,I.389,I.176-200,"līmen","inis, n.","a threshold, 2.242, et al.; (meton.), door, gate, portal, 2.480; a dwelling, abode, palace, 1.389; realm, 6.696; border, limit, 10.355; the line where the race begins or ends, the “calx,"" the starting point, 5.316; in līmine, near at hand, in sight, 7.598.",68
200,I.392,I.176-200,"augurium","iī, n.","the business of the augur; augury, divination, 1.392; an augury, omen, portent, 2.703; oracle, 3.89; presage, 5.523. (augur)",11
201,I.394,I.201-225,"āles","itis (gen. pl. sometimes alituum, 8.27)","adj. (āla), winged, swift, 5.861, et al.; subst. c., a bird, 1.394; an owl, 12.862.",11
202,I.399,I.201-225,"pūbēs","is, f.","the groin, middle, 3.427; the youthful population; youth, young men; youthful band, 1.399; brood, offspring, 6.580.",20
202,I.399,I.201-225,"pūbēs","eris","(adj.), grown up, pubescent; of plants, mature, full grown, 12.413.",1
203,I.402,I.201-225,"fulgeō","fulsī, 2, and fulgō, 3, n.","to shine brightly; flash, gleam, glance, 5.562.",11
204,I.404,I.201-225,"spīrō","āvī, ātus, 1, n. and a.","to breathe, blow, 5.844; palpitate, 4.64; pant; breathe heavily, 7.510; heave, boil, 10.291; of odors, breathe forth, exhale, emit; w. acc., 1.404; p., spīrāns, antis, lifelike, breathing, 6.847.",12
206,I.412,I.201-225,"amictus","ūs, m.","a veiling or draping of the person; an upper garment, covering; cloak, mantle, veil, 3.405; 5.421. (amiciō)",11
207,I.415,I.201-225,"revīsō","3, a. and n.","to look at again; visit again, return to see; return to, 2.760; revisit, 3.318.",11
208,I.417,I.201-225,"caleō","uī, 2, n.","to be warm; to glow, 1.417.",2
209,I.417,I.201-225,"serta","ōrum, n.","things entwined; garlands, festoons, wreaths, 1.417, et al. (sero, serere, serui, sertus)",4
210,I.425,I.201-225,"sulcus","ī, m.","a furrow, 6.844; furrow, 1.425; track, train, 2.697.",5
211,I.427,I.201-225,"fodiō","fōdī, fossus, 3, a.","to dig; pierce, 6.881.",1
212,I.429,I.201-225,"decus","oris, n.","that which is becoming; grace, ornament, decoration, 1.429; glory, honor, distinction, 2.89; pride, 10.858; beauty, 1.592; dignity, honor, 5.174; an honor, honorable gift, 12.83. (decet)",23
213,I.430,I.201-225,"flōs","flōris, m.","a blossom, flower, 6.708; flower, freshness, 7.162; down, 8.160; beauty, perfection, glory, flower, 8.500.",10
214,I.436,I.201-225,"ferveō","ferbuī, 2, n., and fervō, fervī, 3, n.","to boil; (fig.), to blaze, be bright, 4.567; flash, 8.677; glow, 11.195; stir, be alive, teeming, 4.407; move, speed on, 1.436; rage, 9.693.",1
215,I.438,I.201-225,"suspiciō","spexī, spectus, 3, a. and n.","to look up to, 6.668; behold, see; look upon with wonder; admire; survey, 1.438. (sub and speciō, look)",6
216,I.441,I.201-225,"lūcus","ī, m.","a consecrated wood; sacred grove, 6.259, et al.; in general, a grove, wood, forest.",35
217,I.448,I.201-225,"nectō","nexuī, or nexī, nexus, 3, a.","to tie, bind, fasten, 4.239; bind together or round, 1.448; join, unite, of soul and body, 4.695; (fig.), of arguments, 9.219.",7
218,I.449,I.201-225,"foris","is, f.","a door; often in the pl. with reference to double doors, 1.505; door or entrance. (rel. to θύρα)",11
219,I.453,I.201-225,"lūstrō","āvī, ātus, 1, a.","to purify by atonement, 3.279; go round the fields with the victims; hence to bless, ask for a blessing on; go or dance around an altar or the image of a god, 7.391; traverse, pass across, around, or over, 1.608; pass in review, parade before, 5.578; run through, 2.528; search, 1.577; observe, survey, 1.453; watch, mark, 11.763; of the sun, illuminate, 4.607. (lūstrum)",29
220,I.458,I.201-225,"ambō","ae, ō","(adj.), both, 1.458.",25
221,I.461,I.201-225,"ēn","ēn","(interj.), lo! behold! with nom., 1.461; in indignation, 4.597.",17
222,I.468,I.201-225,"crista","ae, f.","a crest, plume, 3.468; helmet, 7.185.",17
223,I.470,I.201-225,"nix","nivis, f.","snow, 4.250.",3
224,I.473,I.201-225,"bibō","bibī, 3, a.","to drink, 1.473, et al.; (fig.), take in, drink in, 1.749; of weapons, 11.804.",4
225,I.477,I.201-225,"hasta","ae, f.","a spear, 2.50, and freq.; hasta pūra, a headless spear, 6.760; pampinea hasta, a thyrsus, 7.396.",72
226,I.478,I.226-250,"pulvis","eris, m., rarely f.","dust, 2.273; soil, ground, earth; dusty plain, 7.163.",13
227,I.480,I.226-250,"crīnis","is, m.","the hair, 1.480; train of meteors, 5.528; (often in the pl.), the hairs of the head, the hair.",28
228,I.482,I.226-250,"pandō","pandī, passus or pānsus, 3, a.","to spread out or open, 7.641; unfurl, 3.520; extend, expose, 6.740; break through, open, 2.234; unbind, dishevel, 1.480; (fig.), disclose, declare, explain, reveal, 3.179.",25
229,I.489,I.226-250,"niger","gra, grum","(adj.), black; dark, swarthy, dusky, 6.134; gloomy.",17
230,I.490,I.226-250,"lūna","ae, f.","the moon, 1.742, et al.; moonlight, 2.340, et al. (rel. to lūceō)",12
231,I.495,I.226-250,"stupeō","uī, 2, n. and a.","to be amazed or dazed; to be bewildered, confounded, lost in wonder, 1.495; wonder at, 2.31.",8
232,I.497,I.226-250,"caterva","ae, f.","a troop, squadron, band, 2.370; crowd, throng, multitude, 2.40; flock, 11.456.",15
233,I.499,I.226-250,"chorus","ī, m.","a dance in a circle; a dance; a company of singers or dancers, choir, train, 1.499; band, troop, 5.581; festival, 11.737.",13
234,I.500,I.226-250,"glomerō","āvī, atus, 1, a.","to gather into a ball or mass; roll, whirl, 3.577; collect; assemble, gather, 2.315; (pass.), glomerārī, in mid. signif., to throng, gather; troop, flock, 1.500. (glomus, ball)",12
235,I.506,I.226-250,"sīdō","sīdī, 3, n.","to seat one’s self; perch, alight, 6.203.",1
236,I.513,I.226-250,"obstipēscō","stipuī (stupuī), 3, inc. n.","to become stupefied; to be astonished, amazed, 1.613.",16
237,I.531,I.226-250,"ūber","eris, n.","a teat, an udder, 3.392; the breast, 5.285; breast, bosom, 3.95; (meton.), richness, fertility, fruitfulness, productiveness, 1.531.",10
237,I.531,I.226-250,"ūber","eris","(adj.), fruitful, fertile, 3.106. (compar., ūberior; superl., ūberrimus), (ūber)",4
238,I.534,I.226-250,"avis","is, f.","a bird, 6.193, et al.",10
239,I.539,I.226-250,"oleō","uī, 2, n. and a.","to emit a smell; to smell of; p., olēns, entis, smelling; fragrant, 11.137; strong-scented.",2
240,I.552,I.226-250,"aptō","āvī, ātus, 1, a.","to fit, join, or fasten to; with acc. and dat., 8.721; put on, 2.390; get ready, prepare, 10.259; fit out, prepare, 1.552; with abl. of manner, 8.80. (aptus)",16
241,I.552,I.226-250,"stringō","strīnxī, strīctus, 3, a.","to draw tight, bind; of a sword, draw out, draw, 2.334; graze, touch lightly, go near, 5.163; trim up, cut, 1.552; (fig.), touch the mind, 9.294.",1
242,I.557,I.226-250,"fretum","ī, n.","a frith or strait; water; the sea, 1.557.",8
243,I.564,I.226-250,"compellō","pulī, pulsus, 3, a.","to drive together; compel; force, drive, 1.575.",1
243,I.564,I.226-250,"compellō","āvī, ātus, 1, a.","to address, accost, speak to, 1.581; greet, salute, 3.299; chide, upbraid, 5.161.",11
244,I.589,I.226-250,"decōrus","a, um","adj. (decor), fit, proper, becoming, 5.343; graceful, beautiful, 1.589; adorned, 5.133; shining, 11.194.",11
245,I.590,I.226-250,"iuventa","ae, f.","youthfulness; the age of youth; youth, 1.590, et al. (iuvenis)",9
246,I.592,I.226-250,"ebur","oris, n.","ivory, 1.592.",4
247,I.593,I.226-250,"flāvus","a, um","(adj.), yellowish; yellow, 7.31; gold-tinted, golden, 1.592; 4.559; yellow-haired, golden-haired; pale green, 5.309.",7
248,I.597,I.226-250,"miseror","ātus sum, 1, dep. a.","to express, manifest, or feel pity for; compassionate, pity, 1.597. (miser)",16
249,I.601,I.226-250,"spargō","sparsī, sparsus, 3, a.","to scatter, strew; cast in fragments, 3.605; disperse, 1.602; shower, hurl, 12.51; sprinkle, 4.512; besprinkle, bedew, stain, 8.645; infuse, 4.486; (fig.), spread abroad, disseminate, 2.98; bring over or upon, diffuse, 7.754.",34
250,I.604,I.226-250,"cōnscius","a, um","adj. (com- and sciō), having complete knowledge; conscious, 5.455; conscious of, 2.141; conscious of guilt, guilty, 2.99; witnessing (w. dat.), 4.167; having knowledge in common, or a mutual understanding; confederate, 2.267.",13
251,I.607,I.251-254,"fluvius","iī, m.","a stream; river, 1.607; water, fountains, abundant water; secundō fluviō, by the favoring stream, with or down the stream, 7.494. (fluō)",25
252,I.611,I.251-254,"laevus","a, um","(adj.), the left, 10.495; (situated) on the left, 3.412; the left, 3.420; (fig.), ill-starred, unpropitious, baleful, 10.275; infatuated, blind, 2.54.",15
253,I.623,I.251-254,"stirps","stirpis, f.","the lower part of the trunk together with the roots of plants and trees; the extremity, end; root; trunk, tree, 12.770; (fig.), origin, descent, lineage, stock, race, 1.626, et al.",19
254,I.629,I.251-254,"dēmum","dēmum","(adv.), at length, at last, 1.629; at least, indeed, especially. (dē with n. superl. ending -mum, hence, perhaps meaning downmost)",11
255,II.12,II.1-25,"lūctus","ūs, m.","a mourning; sorrow, grief, woe, lamentation, 2.298, and freq.; personif., 6.274. (lūgeō)",1
256,II.16,II.1-25,"intexō","uī, tus, 3, a.","to weave into or in; work in, inweave, 5.252; festoon, wreathe, entwine; cover, 6.216; frame, 2.16.",5
257,II.17,II.1-25,"voveō","vōvī, vōtus, 2, a.","to make a pledge or vow to a deity; vow, 10.774; consecrate, devote, 11.558.",3
258,II.18,II.1-25,"sortior","ītus sum, 4, dep. n. and a.","to cast lots; obtain, get, take by lot, 3.634; share, 8.445; distribute, 3.510; assign, allot, appoint, 3.376; select, choose, 2.18; 12.920. (sors)",8
259,II.18,II.1-25,"fūrtim","fūrtim","(adv.), by stealth, secretly, 2.18. (fūr)",6
260,II.20,II.1-25,"uterus","ī, m.","the womb, belly, 11.813; cavity, 2.38.",8
261,II.23,II.1-25,"carīna","ae, f.","the keel of a ship, ship, 4.398; a boat, 6.391; frame, timber, 5.682.",22
262,II.25,II.1-25,"reor","ratus sum, 2, dep. a.","to reason; reckon; think, believe, 3.381; p., ratus, a, um, active, having thought, believing, 11.712; (pass.), determined by reckoning, settled, fixed, 9.104; 10.629.",16
263,II.33,II.1-25,"locō","āvī, ātus, 1, a.","to place, put, 1.213, et al.; lay, 1.428; found, 1.247. (locus)",17
264,II.37,II.1-25,"ūrō","ussī, ūstus, 3, a.","to burn; burn up, 2.37; inflame with love, 4.68; trouble, disturb, torment, 1.662.",5
265,II.38,II.1-25,"latebra","ae, f.","a hiding place; recess, lodgment, retreat, 12.389; usually in pl., latebrae, ārum, an ambuscade; covert, retreat; cavern, 3.424; recess, cavity, 2.38; the hatches of a ship, the hold, 10.657. (lateō)",8
266,II.46,II.1-25,"māchina","ae, f.","a machine, fabric, engine, 2.46, et al.",4
267,II.48,II.1-25,"error","ōris, m.","a wandering, 1.755; a winding maze, 5.591; mistake, error, 3.181; deception, 2.48. (errō)",10
268,II.50,II.1-25,"validus","a, um","adj. (valeō), strong, 1.120; vigorous, powerful, 5.15; mighty, 2.50; heavy, massive.",16
269,II.51,II.1-25,"curvus","a, um","(adj.), curved, bent, bending, 2.51; winding, 2.748; crooked.",17
270,II.55,II.1-25,"foedō","āvī, ātus, 1, a.","to make foul; defile, pollute, 3.227; (fig.), disfigure, mutilate, 2.286; lacerate, wound, 12.871; break, tear in pieces, destroy, 2.55. (foedus)",11
271,II.57,II.1-25,"ecce","ecce","(interj.), see! lo! behold! w. a proposition, 5.793. (en and ce)",37
272,II.58,II.1-25,"pāstor","ōris, m.","one who feeds; herdsman, shepherd, 2.58. (pāscō)",11
273,II.60,II.1-25,"struō","strūxī, strūctus, 3, a.","to place side by side or upon; to pile up; build, erect, 3.84; cover, load, 5.54; arrange, 1.704; like īnstruō, to form or draw out a line of battle, 9.42; (fig.), to plan, purpose, intend, 4.271; bring about, effect, 2.60. (rel. to sternō)",13
274,II.63,II.1-25,"iuventūs","ūtis, f.","youthfulness; the age of youth; collective, young people, the youth; warriors, 1.467. (iuvenis)",25
275,II.67,II.1-25,"namque","namque","(conj.), for indeed, since indeed, for, 4.633; affirmative, indeed, 10.614.",42
276,II.68,II.1-25,"turbō","āvī, ātus, 1, a.","to stir up, confuse, disturb, 3.449; scatter, 1.395; overthrow, 11.796; agitate, 4.566; perplex, 1.515; enrage, anger, 8.435; madden, 7.767; without obj. acc., to make disturbance, uproar, 6.857, et a1.; reflex., to be troubled, 6.800. (turba)",7
276,II.68,II.1-25,"turbō","inis, m.","a tornado, whirlwind; storm, tempest, 1.442; whirling cloud, 3.573; wind accompanying the lightning; lightning-blast, 1.45; 6.594; whirling or stormy force, 11.284, et al.; a whirling top, a child's top, 7.378. (cf. turba)",17
277,II.69,II.1-25,"heu","heu","(interj.), alas! ah! oh! 2.289, et al.",34
278,II.71,II.1-25,"super","super","(adv.), above, 4.684, et al.; above, from above, 10.384; moreover, 4.606; besides, 1.29; more than enough, 2.642; remaining, surviving, left (with ellipsis of esse), 3.489, et al.; still (or above), 4.684; of time, in, during, 9.61.",33
279,II.75,II.1-25,"memorō","āvī, ātus, 1, a.","to call to memory; mention, rehearse, relate, 1.8; say, speak, 3.182; name, 1.327; mention proudly, boast of, 5.392. (memor)",27
280,II.77,II.26-50,"equidem","equidem","(adv.), indeed, at least, certainly, surely; w. first person, for my part, 1.238. (demonstr. e or ec and quidem)",31
281,II.82,II.26-50,"inclutus","a, um","(adj.), famous, glorious, renowned, 2.82. (rel. to clueō, to be heard of; κλύω, hear; κλυτός, renowned)",6
282,II.84,II.26-50,"īnsōns","sontis","(adj.), innocent, guiltless, unoffending, 2.84.",7
283,II.96,II.26-50,"prōmittō","mīsī, missus, 3, a.","to let go, send forth or down; promise, 4.228; vow, pledge, 2.96; p., prōmissus, a, um, promised, betrothed, 12.31.",17
284,II.96,II.26-50,"ultor","ōris, m.","an avenger, 2.96; translated adjectively, avenging, 6.818. (ulcīscor)",6
285,II.97,II.26-50,"hinc","hinc","(adv.), from this place, from here, hence, 3.111; from that place, hence, thence, 3.707; from that or this time (others, from this thing), 2.97; henceforth, 2.148; for ab hōc or ab hīs, 9.763; then, thereupon, 1.194; hinc — hinc, on this side — on that, here — there, 4.40; hinc atque hinc, on both sides, on either side, 1.162. (hīc)",86
286,II.101,II.26-50,"nēquīquam","nēquīquam","(adv.), in vain, to no purpose, 2.515.",36
287,II.109,II.26-50,"fessus","a, um","adj. (rel. to fatīscō), faint, wearied, tired; spent, exhausted, feeble, 2.596; languid; (fig.), strained, sea-tossed, 1.168; afflicted, 3.145; wearied with, exhausted by, w. gen., 1.178; w. abl., 5.715.",33
288,II.120,II.26-50,"gelidus","a, um","adj. (gelū), frosty, ice-cold; cold, cool, icy, chilling, 2.120; chilled, 3.30.",19
289,II.121,II.26-50,"ōs","ōris, n.","the mouth, 1.559; visage, face, countenance, 12.101; language, speech, words, 2.423; an entrance, door, 6.53; opening, 2.482; ōs summum, the lips, 1.737; pl., ōra, features, face, visage, form, countenance, 4.499; images, 4.62; ante ōra, before one's face, 12.82.",142
289,II.121,II.26-50,"os","ossis, n.","a bone, 2.121.",32
290,II.122,II.26-50,"vātēs","is, c.","a prophet, soothsayer, augur, seer, 3.433; prophetess, 3.187; poet, bard, 6.662; priest, 11.774.",36
291,II.133,II.26-50,"vitta","ae, f.","a fillet, band, or chaplet for the head, especially for religious occasions, 5.366, et al.",18
292,II.134,II.26-50,"lētum","ī, n.","death, destruction, 2.134, et al. (cf. dēleō)",32
293,II.135,II.26-50,"lacus","ūs, m.","a lake, pool, source, 8.74; fen, 2.135.",15
294,II.143,II.26-50,"mortālis","e","adj. (mors), subject to death, mortal, 10.375; of mortal nature, lineage, or descent; earthly, human, 1.328; made by man, mortal, 12.740; subst., mortālēs, ium, c., mortals, men, mankind, 2.142; mortālia, ium, n., human affairs; fortunes, woes, 1.462.",14
296,II.146,II.26-50,"exuō","uī, ūtus, 3, a.","to put off; take off, lay aside, 1.690; unclasp, unbuckle, 9.303; put away, change, 4.319; divest; lay bare, strip, bare, 5.423; w. abl. of the thing from which, free from, 2.153, et al. (cf. induō)",10
297,II.155,II.26-50,"ēnsis","is, m.","a sword, 2.393, et al.; knife, 2.155.",62
298,II.155,II.26-50,"nefandus","a, um","adj. (nē and farī), not to be spoken; impious, execrable, accursed, abominable, 5.785; perfidious, 4.497; subst., nefandum, ī, n., wrong, 1.543.",8
299,II.157,II.26-50,"fās","indecl. n.","divine right or law; duty, justice, 3.55; privilege, 9.96; as predicate with esse, permitted, lawful, proper, incumbent, 1.77, et al. (rel. to for)",21
300,II.165,II.26-50,"vellō","vellī or vulsī, vulsus, 3, a.","to pluck; pull up, 3.28; wrench, tear away, 2.480; tear down, 9.506; move, 11.19; seize, lift, 10.381; vellere sīgna, pluck up the standards from the ground; move the camp, depart.",10
301,II.167,II.26-50,"effigiēs","ēī, f.","something molded or fashioned; a figure, likeness, or image, 3.148. (effingō)",7
302,II.167,II.26-50,"cruentus","a, um","(adj.), bloody, blood-stained, 1.296; covered with blood, 10.498.",22
303,II.169,II.26-50,"retrō","retrō","(adv.), back, backwards, 2.753. (re-)",15
304,II.171,II.26-50,"mōnstrum","ī, n.","the thing which warns; an omen, a portent, 3.26; supernatural token, sign, 12.246; a prodigy, marvel, wonder, terror, 3.583; monster, 2.245. (moneō)",31
305,II.184,II.51-75,"nefās","indecl. n.","that which is contrary to divine law; sin, impiety, wrong, 2.719; wickedness, guilt, crime, 2.184; a ghastly deed, 10.497; impious or guilty word, 2.658; mischief, 7.386; dishonor, disgrace, shame, 8.688; (exclamatory), fearful sight! 7.73; fearful penalty! 7.596; (of a person), a monster, wretch, 2.585; (adj.), horrible, 3.365; nefās est, it is unlawful, wicked, impious, 6.391.",18
306,II.185,II.51-75,"immēnsus","a, um","unmeasured; boundless; vast, immense, 2.204; mighty, 3.672; insatiate, unbounded, 6.823.",11
307,II.194,II.51-75,"nepōs","ōtis, m.","a grandson, 2.702; pl., nepōtēs, um, grandchildren; posterity, descendants, 2.194.",18
308,II.198,II.51-75,"domō","uī, itus, 1, a.","to tame, train, vanquish, 2.198; subdue, 6.80; till, 9.608.",4
309,II.201,II.51-75,"sacerdōs","ōtis, c.","a priest or priestess, 2.201; 1.273; a poet or bard (as priest of the Muses), 6.645. (sacer)",26
310,II.202,II.51-75,"sollemnis","e","adj. (sollus, whole, and annus), coming at the completion of a year; annual; stated; ceremonial; religious, solemn, 5.53; festive, 2.202; customary, 12.193; subst., sollemne, is, n., pl., sollemnia, ium, solemnities, sacrificial rites, offerings, 5.605.",3
311,II.202,II.51-75,"taurus","ī, m.","a bull, steer, ox, bullock, 2.202, et al.",21
312,II.202,II.51-75,"māctō","āvī, ātus, 1, a.","to magnify by worship; to sacrifice, immolate, 2.202; slay, slaughter, 8.294, et al.",13
313,II.204,II.51-75,"anguis","is, m. and f.","a snake of any kind, serpent, 2.379; hydra, 8.300.",12
314,II.205,II.51-75,"incumbō","cubuī, cubitus, 3, n.","to lay one's self upon; lean or recline upon; (w. dat.), lie on or stretch over, 2.205; fall upon, 1.84; bend to, ply, 5.15; hasten, urge, press on, 2.653; overhang, 2.514; press or bend toward, 5.325; (w. ad and acc.), lean, hang, incline, 8.236; absolute, bend to, urge on the work, 4.397.",20
315,II.209,II.51-75,"sonitus","ūs, m.","a sounding; noise, 2.732, et al.; roaring, 2.209; thunder, 6.586. (sonō)",32
316,II.209,II.51-75,"spūmō","āvī, ātus, 1, n. and a.","to foam, 3.534, et al. (spūma)",12
317,II.211,II.51-75,"lambō","ī, itus, 3, a.","to lick, 2.211; of flame, touch, lick, 3.574.",5
